date,totaldurationhours,day_of_week
2021-08-12,7.42,Thursday
2021-08-13,6.67,Friday
2021-08-14,7.36,Saturday
2021-08-15,6.47,Sunday
2021-08-16,7.4,Monday
2021-08-17,7.52,Tuesday
2021-08-18,7.72,Wednesday
2021-08-19,6.92,Thursday
2021-08-20,5.93,Friday
2021-08-21,7.55,Saturday
2021-08-22,6.32,Sunday
2021-08-23,6.72,Monday
2021-08-24,7.08,Tuesday
2021-08-25,6.97,Wednesday
2021-08-26,5.52,Thursday
2021-08-27,6.22,Friday
2021-08-28,6.89,Saturday
2021-08-29,6.3,Sunday
2021-08-30,5.96,Monday
2021-08-31,6.88,Tuesday
2021-09-01,6.18,Wednesday
2021-09-02,6.5,Thursday
2021-09-03,6.1,Friday
2021-09-04,6.19,Saturday
2021-09-05,6.92,Sunday
2021-09-06,8.89,Monday
2021-09-07,8.77,Tuesday
2021-09-08,6.75,Wednesday
2021-09-09,6.09,Thursday
2021-09-10,6.67,Friday
2021-09-11,6.54,Saturday
2021-09-12,6.43,Sunday
2021-09-13,6.42,Monday
2021-09-14,5.68,Tuesday
2021-09-15,5.62,Wednesday
2021-09-16,6.8,Thursday
2021-09-17,6.94,Friday
2021-09-18,6.48,Saturday
2021-09-19,6.9,Sunday
2021-09-20,7.24,Monday
2021-09-21,7.02,Tuesday
2021-09-22,7.02,Wednesday
2021-09-23,6.98,Thursday
2021-09-24,7.16,Friday
2021-09-25,6.09,Saturday
2021-09-26,5.7,Sunday
2021-09-27,6.35,Monday
2021-09-28,6.28,Tuesday
2021-09-29,7.25,Wednesday
2021-09-30,6.03,Thursday
2021-10-01,7.29,Friday
2021-10-02,6.6,Saturday
2021-10-03,7.08,Sunday
2021-10-04,6.37,Monday
2021-10-05,6.15,Tuesday
2021-10-06,6.91,Wednesday
2021-10-07,6.63,Thursday
2021-10-08,7.42,Friday
2021-10-09,6.0,Saturday
2021-10-10,5.9,Sunday
2021-10-11,7.13,Monday
2021-10-12,6.73,Tuesday
2021-10-14,6.92,Thursday
2021-10-15,7.05,Friday
2021-10-16,8.23,Saturday
2021-10-17,7.23,Sunday
2021-10-18,6.73,Monday
2021-10-19,5.9,Tuesday
2021-10-20,5.93,Wednesday
2021-10-21,7.48,Thursday
2021-10-22,7.59,Friday
2021-10-23,6.32,Saturday
2021-10-24,6.88,Sunday
2021-10-25,5.95,Monday
2021-10-26,7.72,Tuesday
2021-10-27,7.22,Wednesday
2021-10-28,7.4,Thursday
2021-10-29,5.72,Friday
2021-10-30,6.77,Saturday
2021-10-31,6.82,Sunday
2021-11-02,7.53,Tuesday
2021-11-03,6.65,Wednesday
2021-11-04,6.32,Thursday
2021-11-05,7.34,Friday
2021-11-06,6.77,Saturday
2021-11-07,7.11,Sunday
2021-11-08,6.35,Monday
2021-11-09,7.08,Tuesday
2021-11-10,7.26,Wednesday
2021-11-11,4.04,Thursday
2021-11-12,7.32,Friday
2021-11-13,6.41,Saturday
2021-11-14,7.11,Sunday
2021-11-15,7.52,Monday
2021-11-16,7.32,Tuesday
2021-11-17,7.56,Wednesday
2021-11-18,7.46,Thursday
2021-11-19,7.43,Friday
2021-11-20,7.52,Saturday
2021-11-21,6.48,Sunday
2021-11-22,7.62,Monday
2021-11-23,5.32,Tuesday
2021-11-25,6.2,Thursday
2021-11-26,6.61,Friday
2021-11-28,6.93,Sunday
2021-11-30,6.55,Tuesday
2021-12-01,6.68,Wednesday
2021-12-02,7.32,Thursday
2021-12-03,6.68,Friday
2021-12-04,6.72,Saturday
2021-12-05,6.52,Sunday
2021-12-06,7.13,Monday
2021-12-07,6.57,Tuesday
2021-12-08,6.31,Wednesday
2021-12-09,7.68,Thursday
2021-12-10,6.92,Friday
2021-12-11,7.43,Saturday
2021-12-12,5.21,Sunday
2021-12-13,6.99,Monday
2021-12-14,8.15,Tuesday
2021-12-15,7.41,Wednesday
2021-12-16,6.88,Thursday
2021-12-17,7.6,Friday
2021-12-18,7.32,Saturday
2021-12-19,8.6,Sunday
2021-12-20,6.98,Monday
2021-12-21,7.26,Tuesday
2021-12-22,8.14,Wednesday
2021-12-23,7.24,Thursday
2021-12-24,7.33,Friday
2021-12-25,7.42,Saturday
2021-12-26,6.95,Sunday
2021-12-27,7.5,Monday
2021-12-28,7.39,Tuesday
2021-12-29,6.96,Wednesday
2021-12-30,6.69,Thursday
2021-12-31,7.45,Friday
2022-01-01,6.82,Saturday
2022-01-02,6.28,Sunday
2022-01-03,7.56,Monday
2022-01-04,7.84,Tuesday
2022-01-05,8.68,Wednesday
2022-01-07,8.03,Friday
2022-01-08,7.95,Saturday
2022-01-09,7.3,Sunday
2022-01-10,7.58,Monday
2022-01-11,7.64,Tuesday
2022-01-13,8.25,Thursday
2022-01-14,6.93,Friday
2022-01-16,7.18,Sunday
2022-01-17,8.28,Monday
2022-01-18,7.36,Tuesday
2022-01-19,6.1,Wednesday
2022-01-20,8.06,Thursday
2022-01-21,7.06,Friday
2022-01-24,6.8,Monday
2022-01-25,7.77,Tuesday
2022-01-26,7.44,Wednesday
2022-01-27,7.72,Thursday
2022-01-28,6.24,Friday
2022-01-31,7.97,Monday
2022-02-01,7.3,Tuesday
2022-02-02,6.29,Wednesday
2022-02-07,7.32,Monday
2022-02-08,6.96,Tuesday
2022-02-09,7.11,Wednesday
2022-02-10,6.71,Thursday
2022-02-11,7.09,Friday
2022-02-14,6.85,Monday
2022-02-15,7.98,Tuesday
2022-02-16,7.99,Wednesday
2022-02-17,7.23,Thursday
2022-02-18,6.95,Friday
2022-02-21,7.09,Monday
2022-02-22,7.38,Tuesday
2022-02-23,6.69,Wednesday
2022-02-24,7.17,Thursday
2022-02-25,6.54,Friday
2022-02-28,6.78,Monday
2022-03-01,7.27,Tuesday
2022-03-02,8.11,Wednesday
2022-03-03,6.5,Thursday
2022-03-04,7.11,Friday
2022-03-07,7.06,Monday
2022-03-08,7.2,Tuesday
2022-03-09,7.22,Wednesday
2022-03-10,6.98,Thursday
2022-03-11,7.42,Friday
2022-03-14,7.55,Monday
2022-03-15,6.3,Tuesday
2022-03-16,5.79,Wednesday
2022-03-17,7.07,Thursday
2022-03-18,6.59,Friday
2022-03-21,7.28,Monday
2022-03-22,7.28,Tuesday
2022-03-24,6.58,Thursday
2022-03-25,6.52,Friday
2022-03-26,5.51,Saturday
2022-03-27,6.4,Sunday
2022-03-29,7.48,Tuesday
2022-03-30,7.72,Wednesday
2022-03-31,7.73,Thursday
2022-04-01,7.68,Friday
2022-04-05,7.65,Tuesday
2022-04-07,7.38,Thursday
2022-04-08,7.02,Friday
2022-04-12,7.1,Tuesday
2022-04-14,7.37,Thursday
2022-04-19,7.56,Tuesday
2022-04-21,7.44,Thursday
2022-04-22,6.3,Friday
2022-04-26,7.33,Tuesday
2022-04-28,7.14,Thursday
2022-04-29,8.72,Friday
2022-05-03,6.65,Tuesday
2022-05-06,7.49,Friday
2022-05-10,6.31,Tuesday
2022-05-11,7.45,Wednesday
2022-05-12,5.93,Thursday
2022-05-13,6.37,Friday
2022-05-17,7.91,Tuesday
2022-05-19,7.42,Thursday
2022-05-20,6.92,Friday
2022-05-21,6.37,Saturday
2022-05-24,7.33,Tuesday
2022-05-25,6.62,Wednesday
2022-05-27,6.38,Friday
2022-05-30,7.58,Monday
2022-05-31,6.77,Tuesday
2022-06-02,6.38,Thursday
2022-06-03,7.37,Friday
2022-06-09,7.12,Thursday
2022-06-10,7.4,Friday
2022-06-21,7.36,Tuesday
2022-06-23,6.71,Thursday
2022-06-24,7.24,Friday
2022-06-28,5.83,Tuesday
2022-06-30,5.57,Thursday
2022-07-09,5.8,Saturday
2022-07-15,7.02,Friday
2022-07-19,5.8,Tuesday
2022-07-21,6.94,Thursday
2022-07-22,7.02,Friday
2022-07-29,8.93,Friday
2022-08-04,7.62,Thursday
2022-08-08,6.02,Monday
2022-08-10,6.43,Wednesday
2022-08-12,6.12,Friday
2022-08-19,6.28,Friday
2022-08-22,6.18,Monday
2022-08-29,6.66,Monday
2022-09-02,5.77,Friday
2022-09-04,6.58,Sunday
2022-09-05,6.28,Monday
2022-09-13,8.12,Tuesday
2022-09-22,7.19,Thursday
2022-09-26,5.3,Monday
2022-09-28,7.1,Wednesday
2022-09-30,6.73,Friday
2022-10-03,9.29,Monday
2022-10-05,7.51,Wednesday
2022-12-09,6.99,Friday
2023-01-27,8.91,Friday
2023-02-24,14.38,Friday
2023-02-28,12.09,Tuesday
2023-03-01,15.82,Wednesday
2023-03-02,15.18,Thursday
2023-03-03,16.3,Friday
2023-03-04,12.87,Saturday
2023-03-05,13.02,Sunday
2023-03-07,14.73,Tuesday
2023-03-11,13.32,Saturday
2023-03-12,15.29,Sunday
2023-03-13,13.98,Monday
2023-03-14,17.4,Tuesday
2023-03-15,16.05,Wednesday
2023-03-16,12.8,Thursday
2023-03-17,14.25,Friday
2023-03-20,14.3,Monday
2023-03-22,13.91,Wednesday
2023-03-23,14.62,Thursday
2023-03-24,13.31,Friday
2023-03-25,11.7,Saturday
2023-03-26,15.31,Sunday
2023-03-28,13.67,Tuesday
2023-03-30,15.92,Thursday
2023-03-31,12.05,Friday
2023-04-02,12.53,Sunday
2023-04-03,13.49,Monday
2023-04-05,14.52,Wednesday
2023-04-07,14.68,Friday
2023-04-08,13.87,Saturday
2023-04-09,15.69,Sunday
2023-04-10,10.51,Monday
2023-04-11,15.31,Tuesday
2023-04-12,16.46,Wednesday
2023-04-13,14.81,Thursday
2023-04-14,13.66,Friday
2023-04-15,14.26,Saturday
2023-04-16,15.4,Sunday
2023-04-17,14.56,Monday
2023-04-18,11.33,Tuesday
2023-04-19,15.78,Wednesday
2023-04-20,13.47,Thursday
2023-04-21,13.53,Friday
2023-04-22,10.64,Saturday
2023-04-23,16.57,Sunday
2023-04-24,15.37,Monday
2023-04-26,9.06,Wednesday
2023-04-27,13.02,Thursday
2023-04-28,15.49,Friday
2023-04-29,13.1,Saturday
2023-04-30,14.16,Sunday
2023-05-01,14.73,Monday
2023-05-03,13.36,Wednesday
2023-05-04,11.61,Thursday
2023-05-05,14.55,Friday
2023-05-06,12.92,Saturday
2023-05-07,16.0,Sunday
2023-05-08,15.92,Monday
2023-05-09,13.72,Tuesday
2023-05-10,15.02,Wednesday
2023-05-11,14.95,Thursday
2023-05-12,15.1,Friday
2023-05-13,12.34,Saturday
2023-05-14,15.56,Sunday
2023-05-15,13.87,Monday
2023-05-16,15.16,Tuesday
2023-05-17,15.88,Wednesday
2023-05-18,12.45,Thursday
2023-05-19,15.96,Friday
2023-05-20,13.53,Saturday
2023-05-21,16.47,Sunday
2023-05-22,16.09,Monday
2023-05-23,13.81,Tuesday
2023-05-24,14.41,Wednesday
2023-05-25,16.72,Thursday
2023-05-26,13.93,Friday
2023-05-27,13.35,Saturday
2023-05-28,13.83,Sunday
2023-05-29,10.62,Monday
2023-05-31,15.9,Wednesday
2023-06-01,14.4,Thursday
2023-06-02,15.02,Friday
2023-06-03,12.46,Saturday
2023-06-04,12.64,Sunday
2023-06-05,15.08,Monday
2023-06-06,15.62,Tuesday
2023-06-07,9.9,Wednesday
2023-06-08,17.3,Thursday
2023-06-09,14.96,Friday
2023-06-10,13.6,Saturday
2023-06-11,13.76,Sunday
2023-06-12,14.06,Monday
2023-06-13,16.69,Tuesday
2023-06-14,13.29,Wednesday
2023-06-15,14.72,Thursday
2023-06-16,14.52,Friday
2023-06-17,14.2,Saturday
2023-06-18,12.19,Sunday
2023-06-19,14.07,Monday
2023-06-20,11.75,Tuesday
2023-06-21,14.94,Wednesday
2023-06-23,13.34,Friday
2023-06-24,13.59,Saturday
2023-06-25,15.52,Sunday
2023-06-26,15.24,Monday
2023-06-27,14.68,Tuesday
2023-06-28,15.74,Wednesday
2023-06-30,8.39,Friday
2023-07-01,13.39,Saturday
2023-07-02,13.77,Sunday
2023-07-03,14.16,Monday
2023-07-04,13.86,Tuesday
2023-07-05,2.9,Wednesday
2023-07-07,11.92,Friday
2023-07-09,8.65,Sunday
2023-07-10,12.58,Monday
2023-07-11,14.33,Tuesday
2023-07-12,14.55,Wednesday
2023-07-13,11.19,Thursday
2023-07-14,16.4,Friday
2023-07-15,14.58,Saturday
2023-07-16,14.46,Sunday
2023-07-17,11.85,Monday
2023-07-18,12.85,Tuesday
2023-07-19,15.73,Wednesday
2023-07-20,12.12,Thursday
2023-07-21,13.08,Friday
2023-07-23,14.64,Sunday
2023-07-24,5.92,Monday
2023-07-25,19.9,Tuesday
2023-07-26,12.62,Wednesday
2023-07-27,14.7,Thursday
2023-07-28,14.43,Friday
2023-07-31,13.83,Monday
2023-08-01,15.77,Tuesday
2023-08-02,14.98,Wednesday
2023-08-03,16.51,Thursday
2023-08-04,12.59,Friday
2023-08-05,12.06,Saturday
2023-08-06,16.8,Sunday
2023-08-07,15.15,Monday
2023-08-08,15.11,Tuesday
2023-08-09,15.09,Wednesday
2023-08-10,13.0,Thursday
2023-08-11,15.92,Friday
2023-08-12,12.15,Saturday
2023-08-13,12.06,Sunday
2023-08-14,14.16,Monday
2023-08-15,15.56,Tuesday
2023-08-16,14.61,Wednesday
2023-08-17,16.31,Thursday
2023-08-18,13.38,Friday
2023-08-19,13.19,Saturday
2023-08-20,14.57,Sunday
2023-08-22,12.66,Tuesday
2023-08-24,16.04,Thursday
2023-08-26,16.45,Saturday
2023-08-27,14.42,Sunday
2023-08-28,14.75,Monday
2023-08-29,14.94,Tuesday
2023-08-30,12.13,Wednesday
2023-08-31,13.3,Thursday
2023-09-01,13.08,Friday
2023-09-02,14.56,Saturday
2023-09-03,13.66,Sunday
2023-09-04,13.44,Monday
2023-09-05,12.06,Tuesday
2023-09-06,13.03,Wednesday
2023-09-07,13.91,Thursday
2023-09-08,12.98,Friday
2023-09-09,13.48,Saturday
2023-09-10,15.54,Sunday
2023-09-11,12.6,Monday
2023-09-12,13.28,Tuesday
2023-09-13,15.51,Wednesday
2023-09-14,14.79,Thursday
2023-09-15,12.18,Friday
2023-09-16,12.93,Saturday
2023-09-17,11.77,Sunday
2023-09-18,13.98,Monday
2023-09-19,13.9,Tuesday
2023-09-20,11.48,Wednesday
2023-09-21,13.39,Thursday
2023-09-22,12.9,Friday
2023-09-23,16.34,Saturday
2023-09-24,13.98,Sunday
2023-09-25,13.11,Monday
2023-09-26,12.6,Tuesday
2023-09-27,16.31,Wednesday
2023-09-28,14.27,Thursday
2023-09-29,14.23,Friday
2023-09-30,16.33,Saturday
2023-10-01,13.7,Sunday
2023-10-02,13.81,Monday
2023-10-03,15.91,Tuesday
2023-10-04,14.86,Wednesday
2023-10-05,14.08,Thursday
2023-10-06,16.18,Friday
2023-10-07,10.36,Saturday
2023-10-08,16.28,Sunday
2023-10-09,14.04,Monday
2023-10-11,14.93,Wednesday
2023-10-12,13.33,Thursday
2023-10-13,13.15,Friday
2023-10-14,12.46,Saturday
2023-10-15,12.06,Sunday
2023-10-16,15.11,Monday
2023-10-17,11.89,Tuesday
2023-10-18,13.24,Wednesday
2023-10-19,14.52,Thursday
2023-10-20,14.01,Friday
2023-10-21,15.8,Saturday
2023-10-22,15.57,Sunday
2023-10-23,12.77,Monday
2023-10-24,14.05,Tuesday
2023-10-25,14.25,Wednesday
2023-10-26,17.77,Thursday
2023-10-27,15.31,Friday
2023-10-28,13.86,Saturday
2023-10-29,13.97,Sunday
2023-10-30,12.88,Monday
2023-10-31,15.23,Tuesday
2023-11-01,13.72,Wednesday
2023-11-02,13.18,Thursday
2023-11-03,13.22,Friday
2023-11-04,15.41,Saturday
2023-11-05,14.28,Sunday
2023-11-06,14.91,Monday
2023-11-07,15.54,Tuesday
2023-11-08,15.82,Wednesday
2023-11-09,8.57,Thursday
2023-11-11,13.41,Saturday
2023-11-12,15.94,Sunday
2023-11-16,13.32,Thursday
2023-11-17,14.68,Friday
2023-11-18,14.05,Saturday
2023-11-19,13.59,Sunday
2023-11-20,14.61,Monday
2023-11-23,13.72,Thursday
